"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"1";"Borgarde";"0";"inscrit";"81502";"2006"
"2";"Leeswoo00";"0";"inscrit";"1369";"2008"
"3";"Luckas-bot";"0";"inscrit";"929662";"2008"
"4";"Amirobot";"0";"inscrit";"56602";"2008"
"5";"Severo";"0";"inscrit";"146773";"2006"
"6";"Addbot";"0";"bot";"2838809";"2008"
"8";"Djln";"0";"inscrit";"204354";"2005"
"10";"Seanl617";"0";"inscrit";"39";"2013"
"12";"FrescoBot";"0";"bot";"727454";"2009"
"14";"Magioladitis";"0";"admin";"900475";"2006"
"17";"95.234.223.61";"1";"anonyme";"39";"2014"
"20";"2601:0:200:62A:D02B:801F:E725:FB7C";"1";"anonyme";"24";"2014"
"23";"176.239.0.246";"1";"anonyme";"14";"2015"
"24";"Hugo999";"0";"inscrit";"449500";"2006"
"25";"Suite613";"0";"inscrit";"100";"2007"
"26";"Julius_Sahara";"0";"inscrit";"18364";"2005"
"27";"207.112.122.27";"1";"anonyme";"2";"2007"
"30";"PeeJay2K3";"0";"inscrit";"142044";"2005"
"33";"Sennap~enwiki";"0";"inscrit";"22";"2007"
"36";"Tocino";"0";"inscrit";"9609";"2006"
"42";"Wild3jeff";"0";"inscrit";"7";"2006"
"45";"149.135.107.159";"1";"anonyme";"2";"2007"
"47";"JPMJPMJPMJPM";"0";"inscrit";"115";"2007"
"49";"Thijs!bot";"0";"inscrit";"470128";"2006"
"50";"Ed_g2s";"0";"admin";"26720";"2003"
"51";"81.183.207.34";"1";"anonyme";"2";"2007"
"52";"86.3.31.64";"1";"anonyme";"7";"2007"
"54";"KyleRGiggs";"0";"inscrit";"7311";"2007"
"59";"161.200.255.162";"1";"anonyme";"313";"2003"
"61";"219.75.19.221";"1";"anonyme";"2";"2007"
"67";"Arch_dude";"0";"inscrit";"20843";"2006"
"70";"Chanheigeorge";"0";"inscrit";"166906";"2005"
"71";"Mjefm";"0";"inscrit";"12000";"2005"
"72";"86.146.239.6";"1";"anonyme";"160";"2008"
"75";"Kanabekobaton";"0";"inscrit";"12301";"2005"
"77";"Jumbuck";"0";"inscrit";"14218";"2004"
"79";"Otrfan";"0";"inscrit";"1920";"2008"
"80";"87.57.129.252";"1";"anonyme";"1";"2008"
"87";"ChrisTheDude";"0";"admin";"62291";"2005"
"90";"Mr_Hall_of_England";"0";"inscrit";"50999";"2008"
"94";"Heusie18";"0";"inscrit";"5059";"2006"
"98";"PigFlu_Oink";"0";"inscrit";"32092";"2009"
"101";"Jnestorius";"0";"inscrit";"46446";"2004"
"102";"LaaknorBot";"0";"inscrit";"122478";"2008"
"105";"VEO15";"0";"inscrit";"12094";"2009"
"107";"Cydebot";"0";"admin";"5922974";"2006"
"116";"Wonderwizard";"0";"inscrit";"13919";"2010"
"120";"94.5.150.232";"1";"anonyme";"3";"2010"
"122";"114.36.60.29";"1";"anonyme";"1";"2010"
"124";"Rich_Farmbrough";"0";"inscrit";"1422476";"2004"
"134";"HonorTheKing";"0";"inscrit";"33322";"2008"
"135";"Z";"0";"inscrit";NA;NA
"136";"Phyo_WP";"0";"inscrit";"8934";"2011"
"137";"Yobot";"0";"bot";"4653891";"2008"
"139";"Hybernator";"0";"inscrit";"18465";"2006"
"142";"Koavf";"0";"inscrit";"1654894";"2005"
"150";"Fotoriety";"0";"inscrit";"1585";"2011"
